tempo,frase,emocao,emocao_dominante
300-330 segundos,isso é importante só que para a gente concluir a reunião para a gente chegar no resultado final da reunião a gente precisa que toda essa divergência feche numa convergência E então a gente saia dessa reunião com um plano de ação uma reunião sem um plano de ação não é uma reunião produtiva pode ser uma reunião para agendar outra reunião mas não vai ser nunca uma reunião produtiva e produtivo mesmo,surpresa,"angry: 0.15%, disgust: 0.00%, fear: 8.09%, happy: 0.04%, sad: 0.21%, surprise: 91.51%, neutral: 0.00%"
330-360 segundos,se inscrever aqui nesse canal porque tem muito conteúdo para você se desenvolver para você crescer e ter resultados cada vez mais uau se expressando de forma efetiva e eficaz Então toca aí para se inscrever toca no Sininho porque daí o YouTube vai te avisar toda vez que tiver um episódio novo no ar agora Talvez você esteja pensando que dessa divergência para chegar numa convergência vai precisar chegar num consenso e precisa ter persuasão uma pessoa,surpresa,"angry: 0.26%, disgust: 0.01%, fear: 1.04%, happy: 0.02%, sad: 0.12%, surprise: 98.55%, neutral: 0.00%"
360-390 segundos,precisa ser mais persuasiva para conduzir todo o grupo para esse fechamento agora se de repente você pensou aí também pô tô precisando melhorar essa questão de persuasão vou deixar aqui para você um card ou na descrição desse Episódio um link de um vídeo exclusivo para você sobre persuasão para você se tornar uma pessoa mais persuasiva e envolvente quinto Pilar plano de ação depois de tudo isso que foi conversado O que é que vai ser,surpresa,"angry: 0.11%, disgust: 0.00%, fear: 16.24%, happy: 0.06%, sad: 0.02%, surprise: 83.57%, neutral: 0.00%"
390-420 segundos,como vai ser feito quem vai fazer Qual é o prazo da entrega e por que deve ser feito cada uma dessas cinco perguntas que eu trouxe para você são extremamente importantes para você fazer um plano de ação que seja realmente eficaz Ou seja que contribua para gerar o resultado que você está buscando se você não trouxer essa 5 respostas o plano não vai ser eficaz e um detalhe a última pergunta que eu disse do que é,surpresa,"angry: 0.07%, disgust: 0.00%, fear: 0.39%, happy: 0.01%, sad: 0.05%, surprise: 99.48%, neutral: 0.00%"
420-450 segundos,Por que deve ser feito ela ajuda a pessoa que vai entrar em Ação a se manter muito mais motivada para fazer uma entrega uau agora além dos cinco Pilares eu falei que eu ia trazer quatro pontos de atenção que o quarto é sim o mais perigoso Então vamos para esses pontos primeiro cuidado que tem que estar no seu radar uso de celular na reunião você vai levar o celular para reunião Ok não dá para deixar o celular de Fora deixa o celular com o visor para baixo,surpresa,"angry: 0.09%, disgust: 0.00%, fear: 0.30%, happy: 0.00%, sad: 0.05%, surprise: 99.54%, neutral: 0.00%"
450-480 segundos,Porque se não vai ficar toda hora a luz brilhando ali que chegou alguma mensagem chegou algum e-mail ou enfim Outro ponto dentro desse aí de celular é você colocar o seu celular para não vibrar ué mas você quer que toque o celular não né não é para nem vibrar e nem tocar porque ele tá no silencioso mas ele fica vibrando toda hora também é chato então cuidado com o celular segundo antes de eu falar do segundo já pega o link desse vídeo aqui ó e,surpresa,"angry: 0.12%, disgust: 0.00%, fear: 7.70%, happy: 0.03%, sad: 0.16%, surprise: 91.99%, neutral: 0.00%"
480-510 segundos,com seus amigos do trabalho compartilha com seus familiares para que eles também possam ter uma performance uau nas reuniões Agora sim vamos para o segundo cuidado com a sua postura o nosso corpo ele expressa muito a gente tem comunicação verbal aquilo que nós falamos através das palavras e a comunicação não verbal aquilo que a gente fala através do nosso corpo da nossa postura você tá sentado Cuidado para não ficar esparramado na cadeira ou também não jogar muito o seu tronco para frente ficar,feliz,"angry: 2.94%, disgust: 0.00%, fear: 3.75%, happy: 66.07%, sad: 27.24%, surprise: 0.00%, neutral: 0.00%"
510-540 segundos,em cima da mesa cuidado até mesmo com a postura das suas pernas aquela pessoa que de repente fica sentada de um jeito que ela fica rodando a cadeira ou fica muito sacudindo as pernas é péssimo cuidado da sua postura postura de prontidão passando uma postura ali ó uma comunicação não-verbal de poder de credibilidade terceiro ponto de atenção terceiro cuidado análise o ambiente da reunião é um ambiente mais formal é,surpresa,"angry: 0.28%, disgust: 0.01%, fear: 1.06%, happy: 0.02%, sad: 0.15%, surprise: 98.48%, neutral: 0.00%"
540-570 segundos,mais informal fez a leitura do ambiente então pode-se da maneira adequada Por que se for um ambiente mais formal você vai ter que usar um tipo de estratégia para gerar conexão se for um ambiente mais informal você vai usar de outra estratégia para gerar conexão e gerar conexão numa reunião para alcançar o resultado é muito estratégico é muito importante Quarto e último ponto para você tomar cuidado quando você tiver na reunião e você perceber uma oportunidade,medo,"angry: 4.15%, disgust: 0.00%, fear: 67.58%, happy: 13.44%, sad: 13.35%, surprise: 1.00%, neutral: 0.48%"
570-600 segundos,coloque-se expresse a sua opinião expresse o que você pensa expresse as suas ideias não colocar a sua opinião guardar suas ideias definitivamente é um erro péssimo uma pessoa que deixa de se posicionar que deixa de se apresentar ela perde inúmeras oportunidades agora de repente você não se coloca porque não sabe analisar o time ou de repente tem algo te travando Inclusive tem um livro que eu escrevi sete erros que tra,medo,"angry: 0.00%, disgust: 0.00%, fear: 99.04%, happy: 0.18%, sad: 0.68%, surprise: 0.01%, neutral: 0.08%"
600-630 segundos,pessoa nora dela se apresentar na hora dela falar principalmente falar diante de um público eu vou deixar o link aqui na descrição desse Episódio para você fazer o download gratuito desse livro é só tocar vou deixar aqui na descrição para você ou seja continue se desenvolvendo para que você tenha um efeito uau nas suas reuniões então primeiro Pilar foi tem a clareza do Objetivo que você quer alcançar segundo Pilar a reunião não começa a hora que começa ela começa,medo,"angry: 0.01%, disgust: 0.00%, fear: 95.13%, happy: 4.58%, sad: 0.28%, surprise: 0.00%, neutral: 0.00%"
630-660 segundos,terceira terceira não terceiro Pilar ao abrir a reunião já passei ali uma agenda do que vai rolar uma programação quarto Pilar divergência e convergência e quinto Pilar plano de ação e ainda trouxe os quatro pontos de atenção de cuidado aí para você agora é com você Bora lá mandar ver E arrasar nas suas reuniões beijos eu te vejo no próximo episódio tchau,surpresa,"angry: 0.03%, disgust: 0.00%, fear: 1.10%, happy: 0.00%, sad: 0.00%, surprise: 98.86%, neutral: 0.00%"
